OBJECTID,GLOBAL_ID,NAME,TYPE_CODE,CLASS,UPPER_DESC,UPPER_VAL,UPPER_UOM,UPPER_CODE,LOWER_DESC,LOWER_VAL,LOWER_UOM,LOWER_CODE,LEVEL_CODE,CITY,STATE,COUNTRY,CONT_AGENT,COMM_NAME,SECTOR,ONSHORE,EXCLUSION,TIMESOFUSE,GMTOFFSET,DST_CODE,REMARKS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
1,5F02297F-7DF5-478E-B876-C758B6E4B910,A-220,A,,TI,4500,FT,MSL,,0,FT,SFC,L,MCGUIRE AFB,NJ,UNITED STATES,,,,1,0,"0800 - 2200, DAILY",-5,1,,0,0,1,0,1,0,0.165564236045384,1.7062563615085
2,80512E92-87CB-4E6B-8359-B94B44F07F30,A-291A,A,,TI,2500,FT,MSL,,0,FT,SFC,L,MIAMI,FL,UNITED STATES,,,,1,0,"0600 - 2400, DAILY",-5,1,,0,0,1,0,1,0,0.0125586639894664,0.458377166386008
3,41EB5661-774E-4504-B79D-E689B2C3E28A,A-291B,A,,TI,3900,FT,MSL,,0,FT,SFC,L,MIAMI,FL,UNITED STATES,,,,1,0,"0600 - 2400, DAILY",-5,1,,0,0,1,0,1,0,0.0191436848167541,0.560781775569848
4,802FC3D1-DF5A-4524-8289-85D7B6EA3504,A-291C,A,,TI,2400,FT,MSL,,0,FT,SFC,L,MIAMI,FL,UNITED STATES,,,,1,0,"0600 - 2400, DAILY",-5,1,,0,0,1,0,1,0,0.0188888888947076,0.550000000000068
5,20E80747-FD84-46D3-B481-1C9524D5914D,A-291D,A,,TI,3900,FT,MSL,,0,FT,SFC,L,MIAMI,FL,UNITED STATES,,,,1,0,"0600 - 2400, DAILY",-5,1,,0,0,1,0,1,0,0.0348210261653321,0.756996628980703
6,E33D13FF-EF0F-4398-BB3D-546480978312,A-292,A,,TI,17500,FT,MSL,OTHER,0,FT,SFC,L,PENSACOLA,FL,UNITED STATES,,,,1,0,"SUNRISE - 0100, MON - FRI; SUNRISE - SUNSET, SAT",-6,1,,0,0,1,0,0,0,1.10457867906712,4.89207280889374
7,BBA80263-EF07-4FE4-826F-1740E90F80EA,A-371,A,,TI,2000,FT,MSL,,0,FT,SFC,L,FORT CAMPBELL,KY,UNITED STATES,,,,1,0,CONTINUOUS,-6,1,,0,0,1,0,0,0,0.413235693127035,2.32529184255344
8,F6D9DADC-7A5A-458E-9C5F-6CA499137057,A-440,A,,TI,6500,FT,MSL,,0,FT,SFC,L,COLUMBUS AFB,MS,UNITED STATES,,,,1,0,"SUNRISE - 3 HOURS AFTER SUNSET, MON - FRI; WEEKENDS BY NOTAM",-6,1,,0,0,1,0,0,0,0.0728594621491538,1.08911984454468
9,854D06D2-6270-408E-977C-3DEEFC595E2F,A-443,A,,TI,4000,FT,MSL,,0,FT,SFC,L,SHUQUALAK,MS,UNITED STATES,,,,1,0,"SUNRISE - SUNSET, MON - FRI; OTHER TIMES BY NOTAM",-6,1,,0,0,1,0,0,0,0.0240382940237396,0.602108528039462
10,38FA967A-57D9-4895-9FF0-F197C10E20CE,A-481,A,,TI,17000,FT,MSL,,7000,FT,MSL,L,NELLIS AFB,NV,UNITED STATES,,,,1,0,"SUNRISE - 2200, DAILY; OTHER TIMES BY NOTAM",-8,1,,0,0,1,0,0,0,0.0886147927581078,1.50336167892626
