county,state,counts
los angeles,california,1736
maricopa,arizona,1274
king,washington,1095
san diego,california,808
cook,illinois,781
orange,california,651
clark,nevada,478
harris,texas,458
riverside,california,457
snohomish,washington,441
washington,oregon,438
clackamas,oregon,413
san bernardino,california,409
brevard,florida,377
santa clara,california,375
multnomah,oregon,361
fort bend,texas,359
sacramento,california,337
suffolk,new york,325
pierce,washington,324
alameda,california,303
jefferson,colorado,301
miami-dade,florida,300
arapahoe,colorado,298
palm beach,florida,298
adams,colorado,294
pima,arizona,286
williamson,texas,285
dallas,texas,278
horry,south carolina,273
san mateo,california,271
orange,florida,263
hays,texas,253
ventura,california,253
collin,texas,237
contra costa,california,237
new haven,connecticut,232
travis,texas,228
bernalillo,new mexico,218
sonoma,california,210
franklin,ohio,210
wayne,michigan,206
middlesex,massachusetts,205
tarrant,texas,205
hamilton,indiana,203
hillsborough,florida,203
will,illinois,200
comal,texas,195
fresno,california,194
yavapai,arizona,193
fairfield,connecticut,191
broward,florida,187
dupage,illinois,187
allegheny,pennsylvania,186
san francisco,california,186
hartford,connecticut,184
clark,washington,183
salt lake,utah,182
denver,colorado,181
cobb,georgia,180
anne arundel,maryland,180
bexar,texas,180
delaware,ohio,179
lane,oregon,172
kern,california,171
oakland,michigan,169
nassau,new york,167
spokane,washington,163
delaware,pennsylvania,162
worcester,massachusetts,159
erie,new york,157
jackson,missouri,157
fairfax,virginia,157
boulder,colorado,156
el paso,colorado,156
clermont,ohio,155
cuyahoga,ohio,154
mecklenburg,north carolina,154
baltimore,maryland,151
duval,florida,150
fulton,georgia,150
sarasota,florida,149
kitsap,washington,144
lee,florida,143
tulsa,oklahoma,143
sarpy,nebraska,142
marion,indiana,140
saint johns,florida,139
ada,idaho,138
hennepin,minnesota,137
davidson,tennessee,137
washoe,nevada,136
wake,north carolina,136
pinellas,florida,136
winnebago,illinois,134
manatee,florida,134
stanislaus,california,132
marion,oregon,132
bucks,pennsylvania,132
coconino,arizona,131
thurston,washington,130
yakima,washington,129
jefferson,kentucky,129
lake,illinois,128
essex,massachusetts,125
polk,florida,125
montgomery,pennsylvania,125
santa barbara,california,123
mohave,arizona,123
honolulu,hawaii,122
dekalb,georgia,122
pinal,arizona,121
whatcom,washington,121
douglas,nebraska,120
rockingham,new hampshire,119
middlesex,new jersey,117
monroe,new york,115
creek,oklahoma,114
philadelphia,pennsylvania,114
barnstable,massachusetts,113
plymouth,massachusetts,112
clay,missouri,112
polk,oregon,111
oklahoma,oklahoma,111
polk,iowa,110
westchester,new york,110
chester,pennsylvania,110
santa cruz,california,109
kent,michigan,109
johnson,kansas,108
suffolk,massachusetts,108
cleveland,oklahoma,108
chesterfield,virginia,107
hamilton,ohio,107
san joaquin,california,105
volusia,florida,105
dane,wisconsin,104
milwaukee,wisconsin,102
montgomery,maryland,102
providence,rhode island,101
norfolk,massachusetts,101
platte,missouri,101
placer,california,100
shelby,tennessee,100
utah,utah,99
pasco,florida,98
denton,texas,98
larimer,colorado,98
cumberland,maine,98
lancaster,pennsylvania,97
bristol,massachusetts,97
weld,colorado,97
shasta,california,96
san luis obispo,california,93
monmouth,new jersey,93
anoka,minnesota,93
virginia beach city,virginia,92
macomb,michigan,92
anchorage,alaska,92
el paso,texas,91
jackson,oregon,91
genesee,michigan,91
bergen,new jersey,91
charleston,south carolina,90
hampden,massachusetts,90
waukesha,wisconsin,90
henrico,virginia,90
gwinnett,georgia,90
sedgwick,kansas,88
new hanover,north carolina,87
solano,california,86
guilford,north carolina,86
baltimore city,maryland,85
greene,ohio,85
monterey,california,85
knox,tennessee,85
ocean,new jersey,84
madison,alabama,84
lucas,ohio,84
summit,ohio,83
berkeley,south carolina,82
richmond city,virginia,82
seminole,florida,81
wood,ohio,81
jefferson,alabama,81
boone,missouri,81
dakota,minnesota,80
hillsborough,new hampshire,80
butler,ohio,80
lake,indiana,79
benton,washington,79
greene,missouri,79
tulare,california,79
shelby,alabama,78
erie,pennsylvania,78
humboldt,california,78
albany,new york,78
kane,illinois,77
chelan,washington,77
marin,california,77
onondaga,new york,77
jefferson,louisiana,76
orange,new york,76
litchfield,connecticut,75
washtenaw,michigan,75
new castle,delaware,75
douglas,colorado,73
butte,california,72
dutchess,new york,72
santa fe,new mexico,72
charlotte,florida,72
buncombe,north carolina,72
york,maine,71
lexington,south carolina,71
pulaski,arkansas,71
queens,new york,71
lehigh,pennsylvania,71
greenville,south carolina,70
berks,pennsylvania,70
morris,new jersey,69
broome,new york,69
york,pennsylvania,69
saint louis,minnesota,69
mchenry,illinois,68
lancaster,nebraska,68
fairbanks north star,alaska,68
stark,ohio,67
camden,new jersey,67
nueces,texas,66
marion,florida,65
prince william,virginia,65
montgomery,ohio,65
ulster,new york,64
westmoreland,pennsylvania,64
lincoln,oregon,63
chittenden,vermont,63
galveston,texas,62
hudson,new jersey,62
cowlitz,washington,62
oneida,new york,61
penobscot,maine,61
union,new jersey,60
saint louis,missouri,60
yolo,california,60
brunswick,north carolina,60
yuma,arizona,60
dauphin,pennsylvania,59
montgomery,texas,59
el dorado,california,59
st joseph,indiana,58
burlington,new jersey,58
prince georges,maryland,58
passaic,new jersey,58
allen,indiana,58
escambia,florida,58
new london,connecticut,57
dare,north carolina,57
flathead,montana,57
madison,illinois,56
linn,iowa,56
hamilton,tennessee,56
okaloosa,florida,56
clallam,washington,56
gallatin,montana,55
napa,california,55
essex,new jersey,55
merced,california,54
eaton,michigan,54
washington,minnesota,54
lorain,ohio,54
grant,washington,53
alachua,florida,53
collier,florida,53
deschutes,oregon,53
livingston,michigan,52
rutherford,tennessee,51
ingham,michigan,51
dona ana,new mexico,51
washington,maryland,50
maui,hawaii,50
bay,florida,50
fayette,kentucky,50
missoula,montana,50
washington,arkansas,50
sullivan,tennessee,50
warren,ohio,49
cumberland,pennsylvania,49
middlesex,connecticut,49
skagit,washington,49
chatham,georgia,49
cumberland,north carolina,49
lake,florida,49
washington,rhode island,48
baldwin,alabama,48
cabell,west virginia,48
jefferson,missouri,47
kent,rhode island,47
loudoun,virginia,47
cape may,new jersey,47
atlantic,new jersey,46
kalamazoo,michigan,46
portage,ohio,46
somerset,new jersey,46
richland,south carolina,46
harford,maryland,46
nevada,california,46
orleans,louisiana,46
howard,maryland,45
mendocino,california,45
josephine,oregon,45
androscoggin,maine,45
alexandria city,virginia,45
centre,pennsylvania,45
kennebec,maine,45
linn,oregon,44
stafford,virginia,44
saint tammany,louisiana,44
lewis,washington,44
pueblo,colorado,44
northampton,pennsylvania,44
brown,wisconsin,44
tippecanoe,indiana,44
williamson,tennessee,43
mobile,alabama,43
ottawa,michigan,43
douglas,oregon,43
sussex,delaware,43
grafton,new hampshire,43
merrimack,new hampshire,43
matanuska susitna,alaska,42
davis,utah,42
columbia,georgia,42
taylor,texas,42
vigo,indiana,42
gaston,north carolina,42
mesa,colorado,41
licking,ohio,41
yamhill,oregon,41
leon,florida,41
mclean,illinois,41
harrison,mississippi,41
saint clair,illinois,41
canyon,idaho,41
okanogan,washington,41
winnebago,wisconsin,41
black hawk,iowa,40
monroe,florida,40
kootenai,idaho,40
belknap,new hampshire,40
martin,florida,40
niagara,new york,40
brazoria,texas,40
clinton,michigan,40
