date_documented,date,time,described_duration,described_ufo,full_description,city,state,latitude,longitude
11/2/1999,10/10/1995,07:45 pm,2 min.,,"man  on hwy 43 sw of milwaukee sees large, bright blue light streak by his car, descend, turn, cross road ahead, strobe. bizarre!",milwaukee,wi,43.0388889,-87.9063889
11/2/1999,10/10/1995,10:40 pm,1 minute,,"woman repts.  bright light in nw sky, suddenly approaches her, flies slowly overhead.  swept wings, 2 blurry lights either side.",oakland,ca,37.8044444,-122.2697222
11/2/1999,10/11/1995,06:30 pm,12 min.,,"young man, mother witness watch strange red obj. 45 deg. above horizon w/ binocular.  obj. suddenly fades, disappears from sight.",new york city,ny,40.7141667,-74.0063889
11/2/1999,10/11/1995,08:00 pm,2 min.,,"young man &amp  grandfather see a ""large, orange, round or oval"" obj. move along horizon very fast, hover, move erratically.  bizarre!",huntington,wv,38.4191667,-82.4452778
10/31/2003,10/11/2003,12:00 am,2 days?,,lost two days awaken to power out tv fried and blood from ear.disoriented,san diego,ca,32.7152778,-117.1563889
10/19/2011,10/11/2011,09:00 pm,5 min.,,"orange light formation over monroe, ct 10/11/11--hangs in sky then flys away.",monroe,ct,41.3325,-73.2077778
2/18/2001,10/1/1987,01:00 am,one hour,,"an ""out of the body"" experience",west palm beach,fl,26.7052778,-80.0366667
11/2/1999,10/1/1995,12:00 pm,20 sec.,,"man witnesses 2 ""white"" aircraft rendezvous at high altitude, fly toward bizarre obj. approaching very fast.  obj. ""sparkled.""",iowa city,ia,41.6611111,-91.53
11/2/1999,10/1/1995,02:00 pm,5 sec.,,man reports brief sighting of peculiar white object in daytime sky.  (see later sighting on same day.),lake oswego,or,45.4208333,-122.6694444
11/2/1999,10/1/1995,04:30 pm,90 sec.,,"man reports witnessing 2 ""diamond-shaped objects overhead. (second sighting on same day.)",lake oswego,or,45.4208333,-122.6694444
11/2/1999,10/1/1995,10:30 pm,90 min.,,"man reports wife went out to empty trash, disappears for 90 min., returns disoriented and acting strangely.",austin,tx,30.2669444,-97.7427778
10/12/2001,10/1/2001,01:05 am,1 sec,,just a meteor sighting...,seattle,wa,47.6063889,-122.3308333
10/30/2006,10/1/2006,07:48 pm,3-4 seconds,,white quickly moving light swept across our backyard.,austin,tx,30.2669444,-97.7427778
10/30/2006,10/1/2006,11:00 pm,60 seconds,,there appeared to be about six very very bright glowing white ball shaped objects.,cuchara,co,37.3791667,-105.0997222
11/28/2007,10/12/2007,10:00 pm,10 min,,lights in irvine october 2007: hoax,irvine,ca,33.6694444,-117.8222222
10/30/2012,10/12/2012,07:00 pm,45 seconds,,2 objects with flame trails  making manuevers spirals lights,glendale,az,33.5386111,-112.1852778
10/30/2012,10/12/2012,08:28 pm,2 minutes,,observed a round ball of white light about 1000 ft next to a plane going same speed then disappear.,bellevue,ky,39.1063889,-84.4788889
11/2/1999,10/13/1995,05:50 am,10 min.,,"woman goes outside to retrieve paper, sees ""some lights"" hovering above ocean.  white lights turn red, begin zigzagging, stopped.",crescent city,ca,41.7561111,-124.2005556
11/2/1999,10/13/1995,08:00 pm,3 min.,,"woman repts. 5-6 ""rocket ship-shaped things, w/sparks flying out back end,"" flying down vert.out of the night sky. good rept.",tacoma,wa,47.2530556,-122.4430556
10/31/2008,10/13/2008,09:30 pm,1 hour,,40-50 lights flying over butte montana in a v formation,butte,mt,46.0038889,-112.5338889
11/11/2013,10/13/2013,10:50 am,10 minutes,,"((hoax??))  some kind of aircraft with a huge wingspan was flying very low over my neighborhood in santa fe, nm.",santa fe,nm,35.6869444,-105.9372222
